342,465,807
76731804337944033571287907380080018912105592358523727251161796,487042443804046429442281870100998966064214234802044357329821585429123118360493727110,487042443804046429442358601905336910097785522709424437348733691021481642087744888906
53918669558125233317205332,95277658037,53918669558125328594863369
7382,92,7474
32869159699185573921931896,505050132173885421471176400839789689048425703325981243789185065519724684864531752,505050132173885421471176400839789689048425703325981243822054225218910258786463648
3855425673520697123370078285516154722988791284358675335124130919,1753741027140673904480375643344731459537681575068340490,3855425675274438150510752189996530366333522743896356910192471409
3643419,70032083931124555718,70032083931128199137
3957567,1814423,5771990
9263395946924863035232241278833373166538772867446563125496441702926557345614074889457738962686,9121937336504183520879950876066220001455751260542178755046942,9263395946924863035232241278833382288476109371630084005447317769146558801365335431636494009628
646167951581016713740682733234610194434837099203110119983101199180241431647082061680,81868130065283519822363689480743072459969494040726068185253727836862674121,646167951662884843805966253056973883915580171663079614023827267365495159483944735801
788035946,7469775353883956,7469776141919902
5848,7963,13811
101678586,1791808518234162802211032762898166532231493959703028712873686090961980955268075486,1791808518234162802211032762898166532231493959703028712873686090961980955369754072
50639244001623525437395872760705270884655241966900559,7462213116281071151223443457508178839599074862554552166522058991694572033099280083066569906107401,7462213116281071151223443457508178839599074913193796168145584429090444793804550967721811873007960
72221446581366045451663608,539189566315925126901431,72760636147681970578565039
4570619,48278998438,48283569057
453606931425891075610180533010498190623333267529838829005592058968899093776858075612025365077,8258169408962242161394452758178302731653251952336275,453606931425891075610180533010498190623341525699247791247753453421657272079589728863977701352
505867919682535848186522564679455243476022043584325150740246464584414565717271264187530,382987350928485876563238304517626012379718191771320625,505867919682535848186522564679455626463372972070201713978550982210426945435463035508155
383326026,1912731305612808242431,1912731305613191568457
29950,8600,38550
16165722998568955230241097970973976408212033885448556944732159266040734247425941851071,296676855220376672946393828083571584842986545790966901454395805584826789275473488350,16462399853789331903187491799057547993055020431239523846186555071625561036701415339421
476568316673245190680913285793206019345116191390091082296926447,132305384169953600719408402786798082313654555677591767331161248630,132781952486626845910089316072591288332999671868981858413458175077
4154111449527438108613646,194708087566206694151,4154306157615004315307797
60582401282,42,60582401324
117533451453465137269578696457437287711714878761788266983414169955524270619939864669615401675278761,14363450681298556375698100801777323141297845483471,117533451453465137269578696457437287711714878761802630434095468511899968720741641992756699520762232
9481780724879663429083575601322015905023714398515519175,1038709565916588626714282206840115963589089755963211470334,1048191346641468290143365782441437979494113470361726989509
8673653,844690596,853364249
42,415830123,415830165
98611776997963582671526680847368209389199001592895853159057588515992194830575,42720221496884596557452644091282880094600152180767561375862887552388068627707727129548,42720221595496373555416226762809560941968361569966562968758740711445657143699921960123
382740268923361654085009872395088016947528429723340049538534803725802350378391869515538312908501,93637499489100667938827268584575738616864226130449522191420313915408959415195699,382740268923361747722509361495755955774797014299078666402760934175324541798705784924497728104200
9283462,9789342323124,9789351606586
3856107,559126460,562982567
7083,39301685117130559029321697240884576113126770,39301685117130559029321697240884576113133853
87049639255794235967441004189651656739255255705427435446601594643157003856,677344639706086536846581022017062692266845439766837478713050816,87049639256471580607147090726498237761272318397694280886368432121870054672
86716056496369211074274225,698349199363643478406519,87414405695732854552680744
289,9056423204,9056423493
9303625060372617253501915007559667014098339,50203627905144300871303999893605620421394762170900104657228047879859517764880025986706,50203627905144300871303999893605620421394771474525165029845301381774525324547040085045
3394096949703849612226656840497633676910924025306891,775585832662132639703053303674000635442341942307446284032140725531,775585832662136033800003007523612862099182439941123194956166032422
2984490512,4011838858037235,4011841842527747
796,38919447272,38919448068
1375894590428138841967424186544977829460900416065504673609430379320048451666724,490,1375894590428138841967424186544977829460900416065504673609430379320048451667214
9492479731243629192270467036468903506497057213180993756338,1901927034167930532039844680695518681641137170295764637563791440160956,1901927034177423011771088309887789148677606073802261694776972433917294
7327741,72147553612016483,72147553619344224
359192000,133914857,493106857
69802654954921022821912847139736960188589332829190560050410,41629493090207515921458540966288125759232120305014697140628563568974491163783336,41629493090207515921528343621243046782054033152154434100817152901803681723833746
42535456595817856217922722988793716484199532243337819915904769093231281350030734835830697817030,8665162917981361258096445823610283946223640986512054020768476046,42535456595817856217922722988802381647117513604595916361728379377177504991017246889851466293076
280082849683407,6133548175,280088983231582
82,3834776,3834858
81727339765745925530588602877553993092115074300710937480335455842806602251231798749534096886,78414255674756679571263305477171092257714891221065414609039,81727339765745925530588602877554071506370749057390508743640933013898859966123019814948705925
39390440709828127608591208685374182602828798371932431,185395927687324755035000021305297889522311755263102197083217984888112506728960581934266688299,185395927687324755035000021305297889522351145703812025210826576096797880911563410732638620730
289549,25473205488174978,25473205488464527
409467905,55662487,465130392
564066817070431855946843300491797591671347412989499165023343219193112551796780794484968182,9719258267409037444085741390303463169983660080518055726592456280526777345502567500175869689457536659,9719258267973104261156173246250306470475457672189403139581955445550120564695680051972650483942504841
261717409200452342222223628706712121199131834308620618315203035770014418361370094148988677684997,481437825961858542477916192695777308735328443602893617789925496233326684370769925602473546,261717890638278304080766106622904816976440569637064221208820825695510651688054464918914280158543
286123354,933622909048892392,933622909335015746
8630028446,428706,8630457152
667,8127776772939898314526248812208308715654335361903776754897533641,8127776772939898314526248812208308715654335361903776754897534308
43303778739135190357760872084105329137124905245646569283722094088554119,28237668766298995604967981083161188971064560531289223269003132056029112144404,28237712070077734740158338844033273076393697656194468915572415778123200698523
626941,14065799746512040,14065799747138981
70620703,3281890032,3352510735
79846090951172470478555524478108595728965928690747808,3529327187444325079536140321127460971980189173670614132479483102482678806349338496,3529327187444325079536140321207307062931361644149169656957591698211644735040086304
29846532224414581407785001872367654845406541400056327,97255917075479699806390409430868997258343470680106107,127102449299894281214175411303236652103750012080162434
56092,8573997445328819,8573997445384911
91884,41771602603,41771694487
231597166605403723564,6372842749,231597166611776566313
821874272828116872270647670367724643909001730382757,584919137489660232215301765514800405347760884222882898,585741011762488349087572413185168129991669885953265655
59783,36557661423414831,36557661423474614
1600,29663,31263
93115052788641270723753682,79674960147978569824290763388601465011472011533105119171,79674960147978569824290763388694580064260652803828872853
17617376290156880160339226153777518097989817403640556015814802195993215702,49002071466585828108766182249687280656572609824460183929801785511427474486350438517927829,49002071466585845726142472406567440995798763601978281919619189151983490301152634511143531
842342406985079936642,2900893,842342406985082837535
35180346082,883624,35181229706
19002864,8092851542724377100274179212672886952974941121959349349389175575944504533,8092851542724377100274179212672886952974941121959349349389175575963507397
71414024307506174057637448639859837658790060523574903176,517274748176697724096926890481715935925872458176928681539125884073910461936516460786377,517274748176697724096926890481787349950179964350986318987765743911569251997040035689553
992736481416818714,9374505415,992736490791324129
5459638,6205195401,6210655039
646143595802307689051442159439009042835987437457275595168197171458937515,392454890010586340315,646143595802307689051442159439009042835987437457275987623087182045277830
988903421638845929664185987540666620526583773592943866471324349950833931,31925957405370144718807931126901115485291972172288690129377382922383928271739327951895916472,31925957405370144719796834548539961414956158159829356749903966695976872138210652301846750403
608,67009853109625741038375,67009853109625741038983
222,964142291,964142513
986605431339599085629724258,7480911719804593176771152562089542149632285538667078835404754068690573016378852,7480911719804593176771152562089542149632285538667079822010185408289658646103110
6310926570093682855542675183215826168758474348515430548150285108405282056521088061654275321,51970155787175433965735359889517994542953754285843508184927241664702723314591905751790140438509810,51970162098102004059418215432193177758779923044317856700357789814987831719873962272878202092785131
691924513944895,84750284385104101281,84750976309618046176
9771010,93368671385,93378442395
516953880229788814955850561856563185931148459885404029949795752614427686960614546450336250595,383208275174314377728063930772433245474332792005226407066276281913091496815233596747,516953880612997090130164939584627116703581705359736821955022159680703968873706043265569847342
61792496314097901702880520690581232636933085035733416430990044624826282047,79700223353778513257444373635701990321545120459115504847423955036,61792496393798125056659033948025606272635075357278536890105549472250237083
30754,6825270121788757706,6825270121788788460
77,224,301
34599594448590195921138361248853671295673979714788246390,7157540444246896585343004847831761572062042708974763763540327304356024066,7157540444246896619942599296421957493200403957828435059214307019144270456
425834515056043579333840224279423428504424410435444377276890667629575631723434659286299,694551867034637066558365437409546369588106892895003218029922045312625,425834515056043580028392091314060495062789847844990746864997560524578849753356704598924
13872452263878,3167555,13872455431433
71202,528937321,529008523
514517532258334040779356101467846914905995383294247662,2558193807517270933217337275012756863979035988966946964762507762123382332,2558193807517270933731854807271090904758392090434793879668503145417629994
144768194310606931659971027662197343199263606962517281498111120155351922955,5504986631685448707151910263701548152630725398574662662407862812657470550655,5649754825996055638811881291363745495829989005537179943905973932812822473610
288913653991631865088,93397464337753034169359868,93397753251407025801224956
60732,3663196828,3663257560
2440031667996563627183314909889653,59317401024954149,2440031667996563686500715934843802
6698965931963148577104010890563981658028026658271449663515183473569866731351378898,62448293777891074913524627888408173195854293621980094117428117977868057781164601,6761414225741039652017535518452389831223880951893429757632611591547734789132543499
6160076645032,47750751539263863432,47750757699340508464
15973619,479887503,495861122
62450659044775664800629790101580872915352017436629564942301491271813761211535618869621,7946894737262438061566536953677921901558088020019359127640316838510474569877704663636,70397553782038102862196327055258794816910105456648924069941808110324235781413323533257
598529231991776470385396182000811567939158247725444711834476714530771749,610364642283865263054471052421422441447453932902458525461576475,598529232602141112669261445055282620360580689172898644736935239992348224
463780122994155157911034,952014350054591093269071,1415794473048746251180105
4389031,49,4389080
8777049223397361939,239091439314012345585038973730608808982749413335940640145121059381,239091439314012345585038973730608808982749413344717689368518421320
44259825852708301620455286365052328314277137219717548274246559763259966061010355761763608812,7735983636551230311687916828188739935665938696869647650733956342403047955083228297489101670,51995809489259531932143203193241068249943075916587195924980516105663014016093584059252710482
95416736766274,49214067,95416785980341
553,249582997,249583550
499105307752888671910087085861,11644148829325033731917055587555421264,11644149328430341484805727497642507125
189735260309026889987775897833448710822513752109912383356004601613098640249601463384746,66270104773103126840334663752553635089899052772364404370829836661707227513110972304166670125000810,66270104773292862100643690642541410987732501483186918122939749045063232114724070944416271588385556
77762030648194,839799224782,78601829872976
54507,62102,116609
316498945802140766186114486218372339824,51013456983126722084406769669146298587356924185959077335792477229728,51013456983126722084406769669462797533159064952145191822010849569552
616079554513847532875807565682740428360911003039796186753548977922379570,706906142420890388732347038347139835145999542054436927966647,616079554514554439018228456071472775399258142874942186295603414850346217
19795913129,925587692700,945383605829
442,877213282,877213724
1505917943881134554335955009974209360103636977397484065756291282910600066080693960703317542,35008970737923948150605369231052706420016956095802599691429502071763445454921305,1505917943916143525073878958124814729334689683817501021852093882602029568152457406158238847
41971717606262359576837590932372108323721979728429358939073078714,14138914134860062059262996635128255358680517054601794674593656777799590230992559986686078,14138914134860062059263038606845861621040093892192727046701980499779318660351499059764792
1286452720600793025,9488781850132039416373326,9488783136584760017166351
79426,621456,700882
789177916070160872894,2459747682274866976986501347876922801711352584453285427734083191462865311900,2459747682274866976986501347876922801711352584453285428523261107533026184794
6590863146354332112911494949547175383363176134384868,54290481784622091750151310296630798483036650370572854,60881344930976423863062805246177973866399826504957722
8368381548568,48,8368381548616
25479582665,46806082,25526388747
5774307328121016928252,529583093,5774307328121546511345
42764316862544108987439899765917622381465980634029086,78311297258099576073169505838554886375300808443264558811075692463191314566,78311297258099576073212270155417430484288248343030476433457158443825343652
64,492001304873032,492001304873096
822476929,650808,823127737
86044880078197617009831427995370096590933501067446287187926359950959651,3725972811524304731574457276830897613369248549635258703961816848446202089120,3726058856404382929191467108258892983465839483136326150249004774806153048771
371257743872280800917478661145746776860058708485889,757041964765630654483508200594247424781348134207193400766114596475403474981176196011975,757041964765630654483508200594247425152605878079474201683593257621150251841234904497864
31813203,233390046925228,233390078738431
38720,79392205,79430925
7393693120144119090550999789794334188,835092162249469641511847117233340507797,842485855369613760602398117023134841985
9635070589680967219377753083980245781480991818197096703190740129708138524873898953380618771207004,82738226903172023626749375174738400630463414942913638295316863807315222306515451375353156637,9635153327907870391401379833355420519881622281612039616829035446571945840096205468831994124363641
94565852757662374,249951945363312,94815804703025686
8718354,99549434502,99558152856
5392118382090311699679654722765,576771659058686617032191213556351273453097330088781743,576771659058686617032196605674733363764797009743504508
1756840228526516039350526701265826294631202827789010010442202590004986831978537,145540732579178047587156123484692328856176482263950723459321958113960729441672,1902380961105694086937682824750518623487379310052960733901524548118947561420209
902059208580,995724,902060204304
3739,10093427,10097166
17462199224446756380680110881577707450841819740203706226300742991477402874707946692404099769551,102474500563907709530763623919347518,17462199224446756380680110881577707450841819740203706226300845465977966782417477456028019117069
15770416253312540146614610753318822193327202192180279007307677,5069160653919572783521384928999771403029241693115862554019245324441480452743041,5069160653919572799291801182312311549643852446434684747346447516621759460050718
31161692334829336853529,322528105033557,31161692657357441887086
651381473,13108313,664489786
297985011161251759586111091281433960622901657242830119569028460308120475799273029180903928625,627538391435384838005280214583692299731009488077467908461677877541671634389521,297985011161252387124502526666271965903116240935129850578516537776028937477150570852538318146
2445117822092797888107430443164779273215746562266670,7075385537229591440831737286304296923469547073182144423928065293000633472901317019668612040308,7075385537229591440831737286304296923469549518299966516725953400431076637680590235415174306978
1937357,5876428954383081196694,5876428954383083134051
18663307042,9081149,18672388191
7878530957765875637060334148088365475787939043861951866731247045165816,45664720743804,7878530957765875637060334148088365475787939043861951866776911765909620
84063026352891651517313051388438754384229124869238001945049151654213245920096700872187001847138448440,92291953694228853675126343380389348117429603644688408448192693627573531962848748298689583283578104966,176354980047120505192439394768828102501658728513926410393241845281786777882945449170876585130716553406
9543131854286325202729,15329213947756654368788,24872345802042979571517
22567,1005919804,1005942371
55180939011668997136188064174409378232989903607054413656789,1732736085672765517619155666136786841315870848291100973218686745065491430432729968,1732736085672765517619210847075798510313007036355275382596919734969098484846386757
4329692366933217966317774903496261867731532074026212367506995437044328,1275055587242351714101161905468766235753598123123121708810657598725866947396992068480,1275055587242356043793528838686732553528501619384989440342731624938234454392429112808
15802394,23687,15826081
292963828,87967630838,88260594666
95196944178474953131580623253746264367,560778523757395952151549914,95196944179035731655338019205897814281
611222736145406379976026857696686935410308515700248027856881367549073993887189315730709076,68443046405271861639721230723518572909058152918555019605005446,611222736145406379976026857765129981815580377339969258580399940458132146805744335335714522
741471,4246747401421179893469,4246747401421180634940
97,8180021,8180118
54107150573279629507,9656474110557474091448721271994590,9656474110557528198599294551624097
8999494251728744600173929258258805445602316971237555632138044148947312884188816562118480601552,5933938350230729694499980526678353355145264097237869140852673162602098088075501492342095701,9005428190078975329868429238785483798957462235334793501278896822109914982276892063610822697253
716909,21,716930
85798529,75683045515,75768844044
7559936292177442776189740888725118985952669657821780668345710608820121663266701,79371601626,7559936292177442776189740888725118985952669657821780668345710608820201034868327
9215820789966875220745297712079574745856487947385051717783093554499557215857049992508837,3931414845405246858269607352255144783245777410940740222459341111259034275633965681159792,13147235635372122079014905064334719529102265358325791940242434665758591491491015673668629
46183841,75719648386054,75719694569895
91,6564832,6564923
9019351474949139696826145,382891309523453720262691822080485028017032949338028009848912805096771021145591556087660,382891309523453720262691822080485028017032949338028009848912814116122496094731252913805
635217282970825877276068854907844092443707663708621268531152445722912693216015012064112636087129,947897488276437501449407666518681168178395213240555034597333184472419800932368886,635217282970826825173557131345345541851374182389789446926365686277947290549199484483913568456015
559544166725,261955599448,821499766173
45211124590,349663778,45560788368
79194338164517817755459924169482184792141434577685702323121064455261025423,15266354187344031911955956,79194338164517817755459924169482184792141434577700968677308408487172981379
4294160529968365197840995609559287430050677771724225066704235585281617329,846084877076559876124629594594222446863068987526706561936713003338,4294161376053242274400871734188882024273124634793212593410797521994620667
327603,13276780795312685259894,13276780795312685587497
1246928,5586340,6833268
6603501750576264509784731708,76845370061290562432029402807821461471,76845370067894064182605667317606193179
3310538469103796525800621554268588819450185284973495283526296684254715162600746864897551266787,60507351228853621602621466179040328564512838624791621344200701675093630,3310538469103796525800682061619817673071787906439674323854861197093339954222091065599226360417
2884,551735885971,551735888855
83746099236,93697410636,177443509872
6056184517929024758147132742946923542966667561491629589596296598,365755916214277835348847039426192031432757115283457793765718,6056550273845239035982481589986349734998100318606913047390062316
548534904030353126013512030785645531142097407517994721737456681068818825700597715492,942233850322938558575823580644806333197288989699795,548534904030353126013512030785646473375947730456553297561037325875152022989587415287
725309097820361687126847,4275054233701,725309097824636741360548
768490,3842,772332
21347,4793718256383918561948658888014887300527062610377111060083870616731912775583129031094325908,4793718256383918561948658888014887300527062610377111060083870616731912775583129031094347255
512520618683740509996375103319534920281778413542291420725658640389704904197617684240079,481970820815785953052057791859949636438044190914899237369499277322221031546,512520618684222480817190889272586978073638363178729464916573539627074403474939905271625
7159842887055338869548,8,7159842887055338869556
42147695464,29,42147695493
87999981256162070699493395414,306523945856102666471487,88000287780107926802159866901
81910447311268645750307572163086068080702390642766,21392834983624379959520716837211904962548471488211678130139480,21392834983706290406831985482962212534711557556292380520782246
118749,21092883400637957,21092883400756706
19518210,5736972,25255182
316362183016135177982724620619745845519455515303,293112061,316362183016135177982724620619745845519748627364
582230327475714488764635818856470636915237104187781147,53196244214749120406694805951363860908360170345005063978439954858855544899126080876,53196244214749120406694805951946091235835884833769699797296425495770782003313862023
2595998399883927,1588,2595998399885515
6061,87,6148
4538467647354512,6284,4538467647360796
4231590100547196214650686946937879500310965663531965335542105967216405429891258182245345849,98573546006632225944099384991572569575046091627311430019,4231590100547196214650686946937879598884511670164191279641490958788975004937349809556775868
3523440071176923095,9106818780263838508640762,9106822303703909685563857
45,340948,340993
1867096346222558294719693323545158543502435117755984483584968635200384854293220003731,406860708087747615380308218083767789116438090932708516258926207587823762434113237530534865739,406860709954843961602866512803461112661596634435143634014910691172792397634498091823754869470
44802650798651081770366864046400738915175375616968318080366081647791686566,64838730801974084707159869113063220640003020792192363343566734,44802650798715920501168838131107898784288438837608321101158274011135253300
75625989149552,826,75625989150378
33238419533,8453152,33246872685
337899519439362572168621416448869276274207212764410,71304596034972718574464253121904,337899519439362572239926012483841994848671465886314
381238623069007742305072097030257869228779735124014116840058857019,40602821456310761786471325744523115151888634475875950711,381238623109610563761382858816729194973302850275902751315934807730
991070911567,4398706427422,5389777338989
1461474622,72798888,1534273510
